# Neutrino Energy Enu in GeV
# nue flux in 1/GeV/s
# numub flux in 1/GeV/s
#Enu (GeV)	nue 0-3.6	nue 3.6-7.2	nue 7.2-10.8	nue 10.8-14.4	nue 14.4-18	numub 0-3.6	numub 3.6-7.2	numub 7.2-10.8	numub 10.8-14.4	numub 14.4-18
132.7116212	7916705846	17779285.13	16986473.29	13593238.62	9978039377	6096256684	14625668.45	14331550.8	11470588.24	8342245989
390.9612626	12323101.73	19743820.54	16794560.5	12449951.62	8771304685	10106951.87	16657754.01	14064171.12	10828877.01	7245989305
656.384505	13019092.7	18663912.99	16063490.16	11940868.6	8230509189	10828877.01	16042780.75	13449197.86	10187165.78	7165775401
918.2209469	12763732.21	17615740.67	15364155.05	11558658.22	7880011284	10855614.97	15401069.52	13128342.25	10080213.9	6871657754
1180.057389	12413234.31	16599280.82	14379407.67	10795898.16	7307526063	10962566.84	14598930.48	12700534.76	9491978.61	6631016043
1445.480631	11587026.55	15202248.54	13362925.07	9779415556	6925292935	10481283.42	13823529.41	12219251.34	9090909091	6122994652
1707.317073	10697416.59	13995513.85	12156190.38	9080080441	6289382767	9705882353	13368983.96	11604278.07	8582887701	5909090909
1969.153515	9839519111	12630216.79	10886030.74	8095333064	5621760126	9358288.77	12245989.3	10695187.17	7914438503	5561497326
2234.576758	8632761.67	11106334.61	9615848.35	7047137991	4795552367	8796791444	11443850.27	9946524064	7513368984	5160427807
2492.826399	7648037042	9487360509	8345711.46	6157550784	4254802.37	8021390374	10374331.55	9251336898	6711229947	4625668449
2747.48924	6314497954	8058684001	6916989453	5109378.46	3618892202	7352941176	9251336898	8208556.15	6096256684	4197860963
3020.086083	5266257382	6598181272	5710232012	4283170701	2887821864	6443850267	8368983957	7165775401	5294117647	3636363636
3281.922525	4122947637	5169459265	4630347214	3298423324	2283624.17	5561497326	7165775401	6256684492	4545454545	3262032086
3550.932568	3106442288	3867541654	3486991971	2503905.29	1742805925	4759358289	6042780749	5320855615	3983957219	2700534759
3812.76901	2153407385	2692519435	2375394.7	1741145228	1202033178	3850267.38	4839572193	4224598.93	3288770053	2165775401
4074.605452	1232084955	1707772058	1485784743	1105235061	756397.8513	3021390374	3770053476	3342245989	2459893048	1711229947
4336.441894	659599.7343	945011.9964	786449.6286	627887.2607	437612.4193	2112299465	2647058824	2352941176	1737967914	1256684492
4609.038737	245608.6338	340746.0545	277321.1074	277321.1074	150471.2131	1229946524	1524064171	1390374332	1016042781	721925.1337
4870.875179	85385.56969	85385.56969	85340.07116	85340.07116	85340.07116	401069.5187	588235.2941	454545.4545	374331.5508	240641.7112
