# Neutrino Energy Enu in GeV
# nue flux in 1/GeV/s
# numub flux in 1/GeV/s
#Enu (GeV)	nue 0-10	nue 10-20	nue 20-30	nue 30-40	nue 40-50	numub 0-10	numub 10-20	numub 20-30	numub 30-40	numub 40-50
40.74183475	5448179.272	13375350.14	15224089.64	12282913.17	8641456.583	4118329.466	10823665.89	12517401.39	10429234.34	7389791.183
120.1427486	8417366.947	17436974.79	15392156.86	10854341.74	6540616.246	6670533.643	13932714.62	13283062.65	8967517.401	5626450.116
197.5874998	8837535.014	16848739.5	15000000	9761904.762	6260504.202	7714617.169	14419953.6	12587006.96	8526682.135	5533642.691
276.1082912	8501400.56	16736694.68	13823529.41	9397759.104	5980392.157	7529002.32	14396751.74	12053364.27	8271461.717	4953596.288
355.684024	8417366.947	15392156.86	13207282.91	8865546.218	5504201.681	7204176.334	13747099.77	11728538.28	7737819.026	4883990.719
434.2229001	7801120.448	15000000	12310924.37	7913165.266	5392156.863	7064965.197	12819025.52	11310904.87	7250580.046	4396751.74
513.7594493	7268907.563	13375350.14	11106442.58	7549019.608	4551820.728	6716937.355	12517401.39	10684454.76	6925754.06	4350348.028
593.3381961	6708683.473	11918767.51	10238095.24	6652661.064	4103641.457	6647331.787	11519721.58	10104408.35	6484918.794	4048723.898
670.7799332	5616246.499	10966386.55	8697478.992	5756302.521	3795518.207	6113689.095	10661252.9	8457076.566	6090487.239	3607888.631
750.3405953	4943977.591	9005602.241	7296918.768	4887955.182	3179271.709	5464037.123	9849187.935	8085846.868	5649651.972	3445475.638
828.8252173	4271708.683	7549019.608	6120448.179	4327731.092	2563025.21	4767981.439	9106728.538	7296983.759	5000000		3143851.508
907.3218958	3515406.162	6456582.633	5308123.249	3599439.776	2058823.529	4234338.747	7784222.738	6670533.643	4164733.179	2865429.234
985.839673	2675070.028	4831932.773	3963585.434	2675070.028	1750700.28	3723897.912	6948955.916	5556844.548	3909512.761	2308584.687
1066.488432	1946778.711	3767507.003	3039215.686	2086834.734	1246498.599	3213457.077	5649651.972	4883990.719	3259860.789	2192575.406
1144.997167	1442577.031	2591036.415	2114845.938	1358543.417	854341.7367	2470997.68	4651972.158	3793503.48	2494199.536	1635730.858
1227.819105	854341.7367	1694677.871	1330532.213	910364.1457	546218.4874	2006960.557	3584686.775	2911832.947	1914153.132	1264501.16
1305.26687	490196.0784	966386.5546	742296.9188	546218.4874	294117.6471	1380510.441	2424593.968	2030162.413	1264501.16	916473.3179
1382.726692	238095.2381	350140.056	266106.4426	266106.4426	154061.6246	800464.0371	1473317.865	1218097.448	777262.181	545243.6195
1458.043476	98039.21569	98039.21569	98039.21569	98039.21569	98039.21569	243619.4896	498839.9072	429234.3387	243619.4896	150812.065
