# Enu	# Coherent	# Proton	# Neutron
50	0.0350135	0.00210026	0.000324808
60	0.044382	0.00267926	0.000416636
70	0.0543076	0.00328429	0.000512551
80	0.0644257	0.00391446	0.000612761
90	0.0748547	0.00455516	0.000714923
100	0.0856297	0.00522311	0.000820718
200	0.202789	0.0125054	0.00199504
300	0.332394	0.0206094	0.00330399
400	0.470577	0.0292013	0.00469666
500	0.61252		0.0381753	0.00616087
600	0.761281	0.0475198	0.00767866
700	0.91359		0.0570184	0.00922162
800	1.06881		0.0667455	0.0108197
900	1.2278		0.0767109	0.0124524
1000	1.38945		0.0868376	0.0140969
2000	3.09837		0.194431	0.0317385
3000	4.93057		0.310121	0.050834
4000	6.83625		0.430072	0.070729
5000	8.79856		0.554932	0.0912159
