########################################################################################## 
#####	 Integrated Antineutrino Flux (NuMode): 1.1709089422666665e-05 m^-2 POT^-1 
########################################################################################## 
	 0.0000, 	 0.0500, 	 0.1051320009237446395645, 
	 0.0500, 	 0.1000, 	 0.2083851196213946932456, 
	 0.1000, 	 0.1500, 	 0.1199922512574014277220, 
	 0.1500, 	 0.2000, 	 0.0646762504464271498206, 
	 0.2000, 	 0.2500, 	 0.0514386711262155640889, 
	 0.2500, 	 0.3000, 	 0.0431886700789095370756, 
	 0.3000, 	 0.3500, 	 0.0398664646882241832659, 
	 0.3500, 	 0.4000, 	 0.0356987622957963268711, 
	 0.4000, 	 0.4500, 	 0.0335465881095425508263, 
	 0.4500, 	 0.5000, 	 0.0302927057088969997611, 
	 0.5000, 	 0.5500, 	 0.0274060593797154188056, 
	 0.5500, 	 0.6000, 	 0.0255100964061108631542, 
	 0.6000, 	 0.6500, 	 0.0242034192215997111253, 
	 0.6500, 	 0.7000, 	 0.0209324560734441694754, 
	 0.7000, 	 0.7500, 	 0.0196001577676680853457, 
	 0.7500, 	 0.8000, 	 0.0183191017044218029675, 
	 0.8000, 	 0.8500, 	 0.0168586977923210062924, 
	 0.8500, 	 0.9000, 	 0.0158594740629889457972, 
	 0.9000, 	 0.9500, 	 0.0144673931409279553362, 
	 0.9500, 	 1.0000, 	 0.0131777967039267331767, 
	 1.0000, 	 1.0500, 	 0.0117515542868458725684, 
	 1.0500, 	 1.1000, 	 0.0103253118697650154295, 
	 1.1000, 	 1.1500, 	 0.0091467402915783972694, 
	 1.1500, 	 1.2000, 	 0.0079664606386408657462, 
	 1.2000, 	 1.2500, 	 0.0074566003254688470459, 
	 1.2500, 	 1.3000, 	 0.0063822213070929669290, 
	 1.3000, 	 1.3500, 	 0.0058373454615255485414, 
	 1.3500, 	 1.4000, 	 0.0051353267388665651064, 
	 1.4000, 	 1.4500, 	 0.0045400626881448155267, 
	 1.4500, 	 1.5000, 	 0.0040037272163323733495, 
	 1.5000, 	 1.5500, 	 0.0036672364903863503838, 
	 1.5500, 	 1.6000, 	 0.0031454196539573661164, 
	 1.6000, 	 1.6500, 	 0.0029028730393160576129, 
	 1.6500, 	 1.7000, 	 0.0024348605575434294560, 
	 1.7000, 	 1.7500, 	 0.0021393636256212874430, 
	 1.7500, 	 1.8000, 	 0.0018822983755965338234, 
	 1.8000, 	 1.8500, 	 0.0017311337601334728098, 
	 1.8500, 	 1.9000, 	 0.0014826088838636882448, 
	 1.9000, 	 1.9500, 	 0.0012272517085899362424, 
	 1.9500, 	 2.0000, 	 0.0012340840075939162566, 
	 2.0000, 	 2.0500, 	 0.0009232144029128149833, 
	 2.0500, 	 2.1000, 	 0.0008062112824696624977, 
	 2.1000, 	 2.1500, 	 0.0006973215170937218862, 
	 2.1500, 	 2.2000, 	 0.0006246429364388889028, 
	 2.2000, 	 2.2500, 	 0.0004692935378358851161, 
	 2.2500, 	 2.3000, 	 0.0004650233509583975530, 
	 2.3000, 	 2.3500, 	 0.0003170186737846808467, 
	 2.3500, 	 2.4000, 	 0.0002725233265212573990, 
	 2.4000, 	 2.4500, 	 0.0002209394690412093756, 
	 2.4500, 	 2.5000, 	 0.0002171817045890183620, 
	 2.5000, 	 2.5500, 	 0.0001872049927090555345, 
	 2.5500, 	 2.6000, 	 0.0001540683425397532786, 
	 2.6000, 	 2.6500, 	 0.0001700388414615554777, 
	 2.6500, 	 2.7000, 	 0.0001221273446961458988, 
	 2.7000, 	 2.7500, 	 0.0001041925598106969520, 
	 2.7500, 	 2.8000, 	 0.0001139285858913686620, 
	 2.8000, 	 2.8500, 	 0.0000659743872571837066, 
	 2.8500, 	 2.9000, 	 0.0000517205034601295766, 
	 2.9000, 	 2.9500, 	 0.0000470745401374235003, 
	 2.9500, 	 3.0000, 	 0.0000348618056678086082, 
	 3.0000, 	 3.0500, 	 0.0000445551298797054296, 
	 3.0500, 	 3.1000, 	 0.0000302158423451023862, 
	 3.1000, 	 3.1500, 	 0.0000337173955846419300, 
	 3.1500, 	 3.2000, 	 0.0000071670816551752194, 
	 3.2000, 	 3.2500, 	 0.0000311979853269242659, 
	 3.2500, 	 3.3000, 	 0.0000366552841563533958, 
	 3.3000, 	 3.3500, 	 0.0000248439472532229692, 
	 3.3500, 	 3.4000, 	 0.0000410535766401656045, 
	 3.4000, 	 3.4500, 	 0.0000133571445527812721, 
	 3.4500, 	 3.5000, 	 0.0000098555913132413369, 
	 3.5000, 	 3.5500, 	 0.0000071670816551751558, 
	 3.5500, 	 3.6000, 	 0.0000123835419447140943, 
	 3.6000, 	 3.6500, 	 0.0000115636660642363710, 
	 3.6500, 	 3.7000, 	 0.0000167818344285263403, 
	 3.7000, 	 3.7500, 	 0.0000027687891713629471, 
	 3.7500, 	 3.8000, 	 0.0000115636660642363710, 
	 3.8000, 	 3.8500, 	 0.0000141684800595039191, 
	 3.8500, 	 3.9000, 	 0.0000241094751102948757, 
	 3.9000, 	 3.9500, 	 0.0000034204196888675821, 
	 3.9500, 	 4.0000, 	 0.0000108291939213085045, 
	 4.0000, 	 4.0500, 	 0.0000124604053085087597, 
	 4.0500, 	 4.1000, 	 0.0000026876556206906834, 
	 4.1000, 	 4.1500, 	 0.0000026065220700184659, 
	 4.1500, 	 4.2000, 	 0.0000133571445527811518, 
	 4.2000, 	 4.2500, 	 0.0000133571445527811518, 
	 4.2500, 	 4.3000, 	 0.0000008144954450119813, 
	 4.3000, 	 4.3500, 	 0.0000000000000000000000, 
	 4.3500, 	 4.4000, 	 0.0000026876556206907313, 
	 4.4000, 	 4.4500, 	 0.0000008958852068968945, 
	 4.4500, 	 4.5000, 	 0.0000000000000000000000, 
	 4.5000, 	 4.5500, 	 0.0000000000000000000000, 
	 4.5500, 	 4.6000, 	 0.0000000000000000000000, 
	 4.6000, 	 4.6500, 	 0.0000017917704137938207, 
	 4.6500, 	 4.7000, 	 0.0000000000000000000000, 
	 4.7000, 	 4.7500, 	 0.0000000000000000000000, 
	 4.7500, 	 4.8000, 	 0.0000008958852068968945, 
	 4.8000, 	 4.8500, 	 0.0000008958852068968945, 
	 4.8500, 	 4.9000, 	 0.0000000000000000000000, 
	 4.9000, 	 4.9500, 	 0.0000000000000000000000, 
	 4.9500, 	 5.0000, 	 0.0000000000000000000000, 
	 5.0000, 	 5.0500, 	 0.0000000000000000000000, 
	 5.0500, 	 5.1000, 	 0.0000000000000000000000, 
	 5.1000, 	 5.1500, 	 0.0000000000000000000000, 
	 5.1500, 	 5.2000, 	 0.0000000000000000000000, 
	 5.2000, 	 5.2500, 	 0.0000008958852068968945, 
	 5.2500, 	 5.3000, 	 0.0000000000000000000000, 
	 5.3000, 	 5.3500, 	 0.0000000000000000000000, 
	 5.3500, 	 5.4000, 	 0.0000000000000000000000, 
	 5.4000, 	 5.4500, 	 0.0000000000000000000000, 
	 5.4500, 	 5.5000, 	 0.0000000000000000000000, 
	 5.5000, 	 5.5500, 	 0.0000000000000000000000, 
	 5.5500, 	 5.6000, 	 0.0000000000000000000000, 
	 5.6000, 	 5.6500, 	 0.0000000000000000000000, 
	 5.6500, 	 5.7000, 	 0.0000000000000000000000, 
	 5.7000, 	 5.7500, 	 0.0000000000000000000000, 
	 5.7500, 	 5.8000, 	 0.0000000000000000000000, 
	 5.8000, 	 5.8500, 	 0.0000000000000000000000, 
	 5.8500, 	 5.9000, 	 0.0000000000000000000000, 
	 5.9000, 	 5.9500, 	 0.0000000000000000000000, 
	 5.9500, 	 6.0000, 	 0.0000000000000000000000, 
	 6.0000, 	 6.0500, 	 0.0000000000000000000000, 
	 6.0500, 	 6.1000, 	 0.0000000000000000000000, 
	 6.1000, 	 6.1500, 	 0.0000000000000000000000, 
	 6.1500, 	 6.2000, 	 0.0000000000000000000000, 
	 6.2000, 	 6.2500, 	 0.0000000000000000000000, 
	 6.2500, 	 6.3000, 	 0.0000000000000000000000, 
	 6.3000, 	 6.3500, 	 0.0000000000000000000000, 
	 6.3500, 	 6.4000, 	 0.0000000000000000000000, 
	 6.4000, 	 6.4500, 	 0.0000000000000000000000, 
	 6.4500, 	 6.5000, 	 0.0000000000000000000000, 
	 6.5000, 	 6.5500, 	 0.0000000000000000000000, 
	 6.5500, 	 6.6000, 	 0.0000000000000000000000, 
	 6.6000, 	 6.6500, 	 0.0000000000000000000000, 
	 6.6500, 	 6.7000, 	 0.0000000000000000000000, 
	 6.7000, 	 6.7500, 	 0.0000000000000000000000, 
	 6.7500, 	 6.8000, 	 0.0000000000000000000000, 
	 6.8000, 	 6.8500, 	 0.0000000000000000000000, 
	 6.8500, 	 6.9000, 	 0.0000000000000000000000, 
	 6.9000, 	 6.9500, 	 0.0000000000000000000000, 
	 6.9500, 	 7.0000, 	 0.0000000000000000000000, 
