########################################################################################## 
#####	 Integrated Antineutrino Flux (NuMode): 7.493218305053333e-05 m^-2 POT^-1 
########################################################################################## 
	 0.0000, 	 0.2500, 	 0.0681615227539223156317, 
	 0.2500, 	 0.5000, 	 0.0500818332954372641419, 
	 0.5000, 	 0.7500, 	 0.0494553548173133558641, 
	 0.7500, 	 1.0000, 	 0.0498505081252055351482, 
	 1.0000, 	 1.2500, 	 0.0582131805376375349725, 
	 1.2500, 	 1.5000, 	 0.0603344453070465067124, 
	 1.5000, 	 1.7500, 	 0.0582116284675487510869, 
	 1.7500, 	 2.0000, 	 0.0530909458131913480905, 
	 2.0000, 	 2.2500, 	 0.0471744000520593481651, 
	 2.2500, 	 2.5000, 	 0.0431940964247265885012, 
	 2.5000, 	 2.7500, 	 0.0370804130733279613263, 
	 2.7500, 	 3.0000, 	 0.0360642585066226206703, 
	 3.0000, 	 3.2500, 	 0.0339772655266564888032, 
	 3.2500, 	 3.5000, 	 0.0319012851712584186159, 
	 3.5000, 	 3.7500, 	 0.0308975176719280368587, 
	 3.7500, 	 4.0000, 	 0.0275662909568106864744, 
	 4.0000, 	 4.2500, 	 0.0252989367562074136953, 
	 4.2500, 	 4.5000, 	 0.0213599275350167192022, 
	 4.5000, 	 4.7500, 	 0.0183416231056972786617, 
	 4.7500, 	 5.0000, 	 0.0168957166127964436564, 
	 5.0000, 	 5.2500, 	 0.0144437090037816111970, 
	 5.2500, 	 5.5000, 	 0.0131834493242215609193, 
	 5.5000, 	 5.7500, 	 0.0115825700742589361714, 
	 5.7500, 	 6.0000, 	 0.0099459148080258096003, 
	 6.0000, 	 6.2500, 	 0.0096118538480892915660, 
	 6.2500, 	 6.5000, 	 0.0086320932163926351183, 
	 6.5000, 	 6.7500, 	 0.0084477155373026933949, 
	 6.7500, 	 7.0000, 	 0.0061661521417093077477, 
	 7.0000, 	 7.2500, 	 0.0064691890889271210646, 
	 7.2500, 	 7.5000, 	 0.0061690984458340810542, 
	 7.5000, 	 7.7500, 	 0.0055607135844287173404, 
	 7.7500, 	 8.0000, 	 0.0050836428153054960544, 
	 8.0000, 	 8.2500, 	 0.0044385631801986151143, 
	 8.2500, 	 8.5000, 	 0.0047908522918370371330, 
	 8.5000, 	 8.7500, 	 0.0041416339997823025526, 
	 8.7500, 	 9.0000, 	 0.0044220340728167483249, 
	 9.0000, 	 9.2500, 	 0.0036417478764227428391, 
	 9.2500, 	 9.5000, 	 0.0032832931123077547381, 
	 9.5000, 	 9.7500, 	 0.0032363759419161077131, 
	 9.7500, 	 10.0000, 	 0.0033303620452603882249, 
	 10.0000, 	 10.2500, 	 0.0030618378587111915422, 
	 10.2500, 	 10.5000, 	 0.0027346589577112493351, 
	 10.5000, 	 10.7500, 	 0.0027515174482632734874, 
	 10.7500, 	 11.0000, 	 0.0031006675935667448937, 
	 11.0000, 	 11.2500, 	 0.0025052330061357242462, 
	 11.2500, 	 11.5000, 	 0.0022837644485093110472, 
	 11.5000, 	 11.7500, 	 0.0027655676341398816899, 
	 11.7500, 	 12.0000, 	 0.0021089749513026529761, 
	 12.0000, 	 12.2500, 	 0.0022886482659172893879, 
	 12.2500, 	 12.5000, 	 0.0018391686027225534732, 
	 12.5000, 	 12.7500, 	 0.0019416118625809138023, 
	 12.7500, 	 13.0000, 	 0.0020308812716342832146, 
	 13.0000, 	 13.2500, 	 0.0018134578744137207738, 
	 13.2500, 	 13.5000, 	 0.0023639103545207503128, 
	 13.5000, 	 13.7500, 	 0.0021274210947850582740, 
	 13.7500, 	 14.0000, 	 0.0016587552055727186086, 
	 14.0000, 	 14.2500, 	 0.0015766418191810458501, 
	 14.2500, 	 14.5000, 	 0.0015723910128247811906, 
	 14.5000, 	 14.7500, 	 0.0016413785451446902177, 
	 14.7500, 	 15.0000, 	 0.0015812191888243229583, 
	 15.0000, 	 15.2500, 	 0.0012092804321327597743, 
	 15.2500, 	 15.5000, 	 0.0010928234006578453705, 
	 15.5000, 	 15.7500, 	 0.0011273652075908489889, 
	 15.7500, 	 16.0000, 	 0.0011847065010788867135, 
	 16.0000, 	 16.2500, 	 0.0009904750199249900359, 
	 16.2500, 	 16.5000, 	 0.0008630006129194141675, 
	 16.5000, 	 16.7500, 	 0.0013875478368204298332, 
	 16.7500, 	 17.0000, 	 0.0012433578578268430354, 
	 17.0000, 	 17.2500, 	 0.0009736428691901126116, 
	 17.2500, 	 17.5000, 	 0.0009508228173727670566, 
	 17.5000, 	 17.7500, 	 0.0012889909044137015399, 
	 17.7500, 	 18.0000, 	 0.0008221871509929471432, 
	 18.0000, 	 18.2500, 	 0.0008482607647655821198, 
	 18.2500, 	 18.5000, 	 0.0008470161406774637334, 
	 18.5000, 	 18.7500, 	 0.0010656407921033027308, 
	 18.7500, 	 19.0000, 	 0.0006467328032778444291, 
	 19.0000, 	 19.2500, 	 0.0007573559409276556980, 
	 19.2500, 	 19.5000, 	 0.0008615189091243290144, 
	 19.5000, 	 19.7500, 	 0.0009127223352598322998, 
	 19.7500, 	 20.0000, 	 0.0008944935950257617381, 
	 20.0000, 	 20.2500, 	 0.0004837614163136542641, 
	 20.2500, 	 20.5000, 	 0.0006550891045960340660, 
	 20.5000, 	 20.7500, 	 0.0005892478532251401628, 
	 20.7500, 	 21.0000, 	 0.0006559686785963745595, 
	 21.0000, 	 21.2500, 	 0.0004637831100765273757, 
	 21.2500, 	 21.5000, 	 0.0003977266908118978588, 
	 21.5000, 	 21.7500, 	 0.0006711879042157712239, 
	 21.7500, 	 22.0000, 	 0.0003817648817292317682, 
	 22.0000, 	 22.2500, 	 0.0003692483092523896190, 
	 22.2500, 	 22.5000, 	 0.0007195776488139594800, 
	 22.5000, 	 22.7500, 	 0.0003710470757438063009, 
	 22.7500, 	 23.0000, 	 0.0004065616342640796248, 
	 23.0000, 	 23.2500, 	 0.0005403592829091052353, 
	 23.2500, 	 23.5000, 	 0.0003773536569851577136, 
	 23.5000, 	 23.7500, 	 0.0004765673072132099015, 
	 23.7500, 	 24.0000, 	 0.0004864805790512805213, 
	 24.0000, 	 24.2500, 	 0.0003135537768084920409, 
	 24.2500, 	 24.5000, 	 0.0003986569559818447920, 
	 24.5000, 	 24.7500, 	 0.0004700212587727260033, 
	 24.7500, 	 25.0000, 	 0.0003424937183892353895, 
	 25.0000, 	 25.2500, 	 0.0004118422918385847026, 
	 25.2500, 	 25.5000, 	 0.0003022560544476062417, 
	 25.5000, 	 25.7500, 	 0.0002938326778115039743, 
	 25.7500, 	 26.0000, 	 0.0008029392785663912180, 
	 26.0000, 	 26.2500, 	 0.0002445950358558190854, 
	 26.2500, 	 26.5000, 	 0.0002703302796655384982, 
	 26.5000, 	 26.7500, 	 0.0004166685091630701883, 
	 26.7500, 	 27.0000, 	 0.0002247031557674624390, 
	 27.0000, 	 27.2500, 	 0.0002679529833857829187, 
	 27.2500, 	 27.5000, 	 0.0002203054592559679301, 
	 27.5000, 	 27.7500, 	 0.0001873365412366707937, 
	 27.7500, 	 28.0000, 	 0.0002175227297062445615, 
	 28.0000, 	 28.2500, 	 0.0001772752302043794975, 
	 28.2500, 	 28.5000, 	 0.0002551051927462020196, 
	 28.5000, 	 28.7500, 	 0.0001906921621429832133, 
	 28.7500, 	 29.0000, 	 0.0004220277551325781612, 
	 29.0000, 	 29.2500, 	 0.0002276720002738339321, 
	 29.2500, 	 29.5000, 	 0.0001857343057870638363, 
	 29.5000, 	 29.7500, 	 0.0001687780935392084046, 
	 29.7500, 	 30.0000, 	 0.0001528631161362977798, 
	 30.0000, 	 30.2500, 	 0.0001508301712280029315, 
	 30.2500, 	 30.5000, 	 0.0001360941798949418945, 
	 30.5000, 	 30.7500, 	 0.0001670916753026707063, 
	 30.7500, 	 31.0000, 	 0.0001796253285577297854, 
	 31.0000, 	 31.2500, 	 0.0001806184532335425048, 
	 31.2500, 	 31.5000, 	 0.0004251747073552428527, 
	 31.5000, 	 31.7500, 	 0.0001190560402328556550, 
	 31.7500, 	 32.0000, 	 0.0001176117876354501027, 
	 32.0000, 	 32.2500, 	 0.0001187103810121369139, 
	 32.2500, 	 32.5000, 	 0.0001418116564525256809, 
	 32.5000, 	 32.7500, 	 0.0001321699381602296655, 
	 32.7500, 	 33.0000, 	 0.0000952698254525121552, 
	 33.0000, 	 33.2500, 	 0.0001264723729403283094, 
	 33.2500, 	 33.5000, 	 0.0001487895393689673781, 
	 33.5000, 	 33.7500, 	 0.0000934640059168829080, 
	 33.7500, 	 34.0000, 	 0.0000797305344216509866, 
	 34.0000, 	 34.2500, 	 0.0001096685117856246837, 
	 34.2500, 	 34.5000, 	 0.0001230134319426370089, 
	 34.5000, 	 34.7500, 	 0.0000864595122716618780, 
	 34.7500, 	 35.0000, 	 0.0000361566938223711152, 
	 35.0000, 	 35.2500, 	 0.0000710372870947887562, 
	 35.2500, 	 35.5000, 	 0.0001087422342213744563, 
	 35.5000, 	 35.7500, 	 0.0000972085251418303115, 
	 35.7500, 	 36.0000, 	 0.0000582217789792385937, 
	 36.0000, 	 36.2500, 	 0.0000424691483745227676, 
	 36.2500, 	 36.5000, 	 0.0000601411411830997695, 
	 36.5000, 	 36.7500, 	 0.0000677738562157619359, 
	 36.7500, 	 37.0000, 	 0.0000865848122378148313, 
	 37.0000, 	 37.2500, 	 0.0000308626401347523516, 
	 37.2500, 	 37.5000, 	 0.0000590845724728753706, 
	 37.5000, 	 37.7500, 	 0.0000677515960875754269, 
	 37.7500, 	 38.0000, 	 0.0000457999468357351346, 
	 38.0000, 	 38.2500, 	 0.0000303606662369061699, 
	 38.2500, 	 38.5000, 	 0.0000523552076062473341, 
	 38.5000, 	 38.7500, 	 0.0000580918081228786295, 
	 38.7500, 	 39.0000, 	 0.0000628306931458937431, 
	 39.0000, 	 39.2500, 	 0.0000764028054025746479, 
	 39.2500, 	 39.5000, 	 0.0000337856431900922875, 
	 39.5000, 	 39.7500, 	 0.0000445211772056633743, 
	 39.7500, 	 40.0000, 	 0.0000325251567588307876, 
	 40.0000, 	 40.2500, 	 0.0000785299154574426600, 
	 40.2500, 	 40.5000, 	 0.0000376847822262920342, 
	 40.5000, 	 40.7500, 	 0.0000534146856138006509, 
	 40.7500, 	 41.0000, 	 0.0000314535344367392603, 
	 41.0000, 	 41.2500, 	 0.0000177704418287400009, 
	 41.2500, 	 41.5000, 	 0.0000387854841762722992, 
	 41.5000, 	 41.7500, 	 0.0000257162266138766260, 
	 41.7500, 	 42.0000, 	 0.0000090825726983161219, 
	 42.0000, 	 42.2500, 	 0.0000201434141987039981, 
	 42.2500, 	 42.5000, 	 0.0000289525930205040101, 
	 42.5000, 	 42.7500, 	 0.0000383724440279674346, 
	 42.7500, 	 43.0000, 	 0.0000284336971547078881, 
	 43.0000, 	 43.2500, 	 0.0000416632463236072742, 
	 43.2500, 	 43.5000, 	 0.0000190275919098536397, 
	 43.5000, 	 43.7500, 	 0.0000000000000000000000, 
	 43.7500, 	 44.0000, 	 0.0000046048171286735799, 
	 44.0000, 	 44.2500, 	 0.0000449348312423954527, 
	 44.2500, 	 44.5000, 	 0.0000166359359790616365, 
	 44.5000, 	 44.7500, 	 0.0000202274768770294367, 
	 44.7500, 	 45.0000, 	 0.0000250124035320850058, 
	 45.0000, 	 45.2500, 	 0.0000290299429623319559, 
	 45.2500, 	 45.5000, 	 0.0000080393760794843459, 
	 45.5000, 	 45.7500, 	 0.0000343651004837723314, 
	 45.7500, 	 46.0000, 	 0.0000129896122116660030, 
	 46.0000, 	 46.2500, 	 0.0000060718636702892871, 
	 46.2500, 	 46.5000, 	 0.0000204537614894577858, 
	 46.5000, 	 46.7500, 	 0.0000000000000000000000, 
	 46.7500, 	 47.0000, 	 0.0000120987266497842605, 
	 47.0000, 	 47.2500, 	 0.0000193210572688592649, 
	 47.2500, 	 47.5000, 	 0.0000000000000000000000, 
	 47.5000, 	 47.7500, 	 0.0000178067680091498831, 
	 47.7500, 	 48.0000, 	 0.0000000000000000000000, 
	 48.0000, 	 48.2500, 	 0.0000000000000000000000, 
	 48.2500, 	 48.5000, 	 0.0000000000000000000000, 
	 48.5000, 	 48.7500, 	 0.0000076524528801369112, 
	 48.7500, 	 49.0000, 	 0.0000069428378944886104, 
	 49.0000, 	 49.2500, 	 0.0000000000000000000000, 
	 49.2500, 	 49.5000, 	 0.0000000000000000000000, 
	 49.5000, 	 49.7500, 	 0.0000115310800356276312, 
	 49.7500, 	 50.0000, 	 0.0000125962164930317207, 
	 50.0000, 	 50.2500, 	 0.0000097232853807108500, 
	 50.2500, 	 50.5000, 	 0.0000144395099135217175, 
	 50.5000, 	 50.7500, 	 0.0000000000000000000000, 
	 50.7500, 	 51.0000, 	 0.0000099476616008546233, 
