########################################################################################## 
#####	 Integrated AntiNeutrino Flux (AntiNeutrino Mode): 4.294211997449354e-06 m^-2 POT^-1 
########################################################################################## 
	 0.0000, 	 0.1000, 	 0.1500286504662672049104, 
	 0.1000, 	 0.2000, 	 0.2530686490565486890247, 
	 0.2000, 	 0.3000, 	 0.2286056634680670163196, 
	 0.3000, 	 0.4000, 	 0.1224253854563730758986, 
	 0.4000, 	 0.5000, 	 0.0646172747245974399277, 
	 0.5000, 	 0.6000, 	 0.0417954030271063467494, 
	 0.6000, 	 0.7000, 	 0.0278306322149643493857, 
	 0.7000, 	 0.8000, 	 0.0193570708111514000471, 
	 0.8000, 	 0.9000, 	 0.0149041621485790191926, 
	 0.9000, 	 1.0000, 	 0.0125204379080434465704, 
	 1.0000, 	 1.1000, 	 0.0108279476012104643179, 
	 1.1000, 	 1.2000, 	 0.0093642450939546394151, 
	 1.2000, 	 1.3000, 	 0.0085827951700027278747, 
	 1.3000, 	 1.4000, 	 0.0076413492461102402314, 
	 1.4000, 	 1.5000, 	 0.0074225883355891787707, 
	 1.5000, 	 1.6000, 	 0.0071061335107998327074, 
	 1.6000, 	 1.7000, 	 0.0072100902373582716545, 
	 1.7000, 	 1.8000, 	 0.0073155677629532494394, 
	 1.8000, 	 1.9000, 	 0.0073155677629532650519, 
	 1.9000, 	 2.0000, 	 0.0073155677629532477046, 
	 2.0000, 	 2.1000, 	 0.0074225883355891787707, 
	 2.1000, 	 2.2000, 	 0.0071061335107998023497, 
	 2.2000, 	 2.3000, 	 0.0061455391470545059351, 
	 2.3000, 	 2.4000, 	 0.0047318167522213006732, 
	 2.4000, 	 2.5000, 	 0.0036433076481716866052, 
	 2.5000, 	 2.6000, 	 0.0029729877711847985979, 
	 2.6000, 	 2.7000, 	 0.0024974975727864454425, 
	 2.7000, 	 2.8000, 	 0.0020379914241345793019, 
	 2.8000, 	 2.9000, 	 0.0015691710248441508892, 
	 2.9000, 	 3.0000, 	 0.0012438066740769070009, 
	 3.0000, 	 3.1000, 	 0.0010003289158388277164, 
	 3.1000, 	 3.2000, 	 0.0008777620229896514453, 
	 3.2000, 	 3.3000, 	 0.0007267439106405058913, 
	 3.3000, 	 3.4000, 	 0.0006285039741987654771, 
	 3.4000, 	 3.5000, 	 0.0005677493776873176069, 
	 3.5000, 	 3.6000, 	 0.0004981849813788948554, 
	 3.6000, 	 3.7000, 	 0.0004700686429777998815, 
	 3.7000, 	 3.8000, 	 0.0004185068616332062114, 
	 3.8000, 	 3.9000, 	 0.0003835822999717691459, 
	 3.9000, 	 4.0000, 	 0.0003317303336633184614, 
	 4.0000, 	 4.1000, 	 0.0002996634838108318722, 
	 4.1000, 	 4.2000, 	 0.0002996634838108318722, 
	 4.2000, 	 4.3000, 	 0.0002481066694581857720, 
	 4.3000, 	 4.4000, 	 0.0002445294108740213865, 
	 4.4000, 	 4.5000, 	 0.0002054201554584216840, 
	 4.5000, 	 4.6000, 	 0.0001828876396274948081, 
	 4.6000, 	 4.7000, 	 0.0001725659098336508417, 
	 4.7000, 	 4.8000, 	 0.0001536371728432241147, 
	 4.8000, 	 4.9000, 	 0.0001536371728432241147, 
	 4.9000, 	 5.0000, 	 0.0001290649325855813736, 
	 5.0000, 	 5.1000, 	 0.0001309530434527210268, 
	 5.1000, 	 5.2000, 	 0.0001165888175172390877, 
	 5.2000, 	 5.3000, 	 0.0001008285505854989231, 
	 5.3000, 	 5.4000, 	 0.0000910819170571028542, 
	 5.4000, 	 5.5000, 	 0.0000910819170571028542, 
	 5.5000, 	 5.6000, 	 0.0000787696271133237852, 
	 5.6000, 	 5.7000, 	 0.0000799219601752462603, 
	 5.7000, 	 5.8000, 	 0.0000671394963291310694, 
	 5.8000, 	 5.9000, 	 0.0000681216904084499001, 
	 5.9000, 	 6.0000, 	 0.0000580636998132837072, 
