########################################################################################## 
#####	 Integrated AntiNeutrino Flux (Neutrino Mode): 2.6679782315159854e-06 m^-2 POT^-1 
########################################################################################## 
	 0.0000, 	 0.1000, 	 0.2171330767715819731745, 
	 0.1000, 	 0.2000, 	 0.2436597652567325522632, 
	 0.2000, 	 0.3000, 	 0.1536570464291335258444, 
	 0.3000, 	 0.4000, 	 0.0955133133841997994384, 
	 0.4000, 	 0.5000, 	 0.0638059953964584675168, 
	 0.5000, 	 0.6000, 	 0.0471476087605332619401, 
	 0.6000, 	 0.7000, 	 0.0363772229668620772358, 
	 0.7000, 	 0.8000, 	 0.0293069822407222985161, 
	 0.8000, 	 0.9000, 	 0.0246538272459592110175, 
	 0.9000, 	 1.0000, 	 0.0213457812538335005292, 
	 1.0000, 	 1.1000, 	 0.0179566493451793034175, 
	 1.1000, 	 1.2000, 	 0.0157728523313582710830, 
	 1.2000, 	 1.3000, 	 0.0138546376823705224418, 
	 1.3000, 	 1.4000, 	 0.0121697066121730871485, 
	 1.4000, 	 1.5000, 	 0.0110021991707386843085, 
	 1.5000, 	 1.6000, 	 0.0098044145888391345811, 
	 1.6000, 	 1.7000, 	 0.0086120511979976468314, 
	 1.7000, 	 1.8000, 	 0.0075646970214173683139, 
	 1.8000, 	 1.9000, 	 0.0067411455369929583828, 
	 1.9000, 	 2.0000, 	 0.0060072522431844077584, 
	 2.0000, 	 2.1000, 	 0.0055897157209391706498, 
	 2.1000, 	 2.2000, 	 0.0048396886966034060110, 
	 2.2000, 	 2.3000, 	 0.0042511101973354862779, 
	 2.3000, 	 2.4000, 	 0.0037341116428775866960, 
	 2.4000, 	 2.5000, 	 0.0032330692314444567891, 
	 2.5000, 	 2.6000, 	 0.0028810922841503950817, 
	 2.6000, 	 2.7000, 	 0.0026424926805822522048, 
	 2.7000, 	 2.8000, 	 0.0022879235001457974737, 
	 2.8000, 	 2.9000, 	 0.0020388424345776810440, 
	 2.9000, 	 3.0000, 	 0.0017908887136638450624, 
	 3.0000, 	 3.1000, 	 0.0016425750551720375795, 
	 3.1000, 	 3.2000, 	 0.0015505875964184532255, 
	 3.2000, 	 3.3000, 	 0.0013043962840605855848, 
	 3.3000, 	 3.4000, 	 0.0012137336872478435290, 
	 3.4000, 	 3.5000, 	 0.0010815972412013099072, 
	 3.5000, 	 3.6000, 	 0.0009920240350979410340, 
	 3.6000, 	 3.7000, 	 0.0008968536682215420917, 
	 3.7000, 	 3.8000, 	 0.0008589144330609590648, 
	 3.8000, 	 3.9000, 	 0.0007765140084565552931, 
	 3.9000, 	 4.0000, 	 0.0006820782960772387056, 
	 4.0000, 	 4.1000, 	 0.0006820782960772387056, 
	 4.1000, 	 4.2000, 	 0.0006255915212725035634, 
	 4.2000, 	 4.3000, 	 0.0005495102396388912118, 
	 4.3000, 	 4.4000, 	 0.0005574847848720069230, 
	 4.4000, 	 4.5000, 	 0.0005187365770629900593, 
	 4.5000, 	 4.6000, 	 0.0004689713006133945758, 
	 4.6000, 	 4.7000, 	 0.0004556504541358303846, 
	 4.7000, 	 4.8000, 	 0.0004119373792976543437, 
	 4.8000, 	 4.9000, 	 0.0004119373792976543437, 
	 4.9000, 	 5.0000, 	 0.0003888680695769890314, 
	 5.0000, 	 5.1000, 	 0.0003415758987054474038, 
	 5.1000, 	 5.2000, 	 0.0003366898237332055488, 
	 5.2000, 	 5.3000, 	 0.0003088066285609764993, 
	 5.3000, 	 5.4000, 	 0.0003000351628338954928, 
	 5.4000, 	 5.5000, 	 0.0002791810962208150435, 
	 5.5000, 	 5.6000, 	 0.0002791810962208150435, 
	 5.6000, 	 5.7000, 	 0.0002560605251622424263, 
	 5.7000, 	 5.8000, 	 0.0002597765000304515346, 
	 5.8000, 	 5.9000, 	 0.0002249197371757091942, 
	 5.9000, 	 6.0000, 	 0.0002185310279204245160, 
