########################################################################################## 
#####	 Integrated Antineutrino Flux: 21701356.63195907 m^-2 s^-1 
########################################################################################## 
	 0.0000, 	 78.9474, 	 0.0476894142885278746191, 
	 78.9474, 	 157.8947, 	 0.0772434175198624117797, 
	 157.8947, 	 236.8421, 	 0.0893336915579912710372, 
	 236.8421, 	 315.7895, 	 0.0871843095075403445859, 
	 315.7895, 	 394.7368, 	 0.0834228909163562820650, 
	 394.7368, 	 473.6842, 	 0.0818108543756231321176, 
	 473.6842, 	 552.6316, 	 0.0777807630295802576725, 
	 552.6316, 	 631.5789, 	 0.0769747447650036137334, 
	 631.5789, 	 710.5263, 	 0.0707952713569299230123, 
	 710.5263, 	 789.4737, 	 0.0632724341745617702149, 
	 789.4737, 	 868.4211, 	 0.0552122514824758617302, 
	 868.4211, 	 947.3684, 	 0.0490327780744021779480, 
	 947.3684, 	 1026.3158, 	 0.0431219774327671750980, 
	 1026.3158, 	 1105.2632, 	 0.0372111767911320681645, 
	 1105.2632, 	 1184.2105, 	 0.0286136485777485904958, 
	 1184.2105, 	 1263.1579, 	 0.0232401934458313884357, 
	 1263.1579, 	 1342.1053, 	 0.0159860290183221620541, 
	 1342.1053, 	 1421.0526, 	 0.0092692101016886869341, 
	 1421.0526, 	 1500.0000, 	 0.0028210639445460251179, 
