########################################################################################## 
#####	 Integrated Neutrino Flux (AntiNuMode): 1.5891932893480667e-05 m^-2 POT^-1 
########################################################################################## 
	 0.0000, 	 0.0500, 	 0.0378840008975231956612, 
	 0.0500, 	 0.1000, 	 0.0719421613257009845421, 
	 0.1000, 	 0.1500, 	 0.0542218499018134042489, 
	 0.1500, 	 0.2000, 	 0.0454727568284945607435, 
	 0.2000, 	 0.2500, 	 0.0648316354533978039809, 
	 0.2500, 	 0.3000, 	 0.0400668694153125462543, 
	 0.3000, 	 0.3500, 	 0.0411189755443825341596, 
	 0.3500, 	 0.4000, 	 0.0410944347913719809640, 
	 0.4000, 	 0.4500, 	 0.0404595214634822022970, 
	 0.4500, 	 0.5000, 	 0.0391185895489797180735, 
	 0.5000, 	 0.5500, 	 0.0376549538694242666437, 
	 0.5500, 	 0.6000, 	 0.0361051109292929717220, 
	 0.6000, 	 0.6500, 	 0.0347207607594641129434, 
	 0.6500, 	 0.7000, 	 0.0333943015967370429586, 
	 0.7000, 	 0.7500, 	 0.0317764996482688480417, 
	 0.7500, 	 0.8000, 	 0.0302354662092183638922, 
	 0.8000, 	 0.8500, 	 0.0286893987695502547530, 
	 0.8500, 	 0.9000, 	 0.0270199983147520611526, 
	 0.9000, 	 0.9500, 	 0.0250303095706615012783, 
	 0.9500, 	 1.0000, 	 0.0232778481056735639387, 
	 1.0000, 	 1.0500, 	 0.0215851653980190932858, 
	 1.0500, 	 1.1000, 	 0.0198421426841890249926, 
	 1.1000, 	 1.1500, 	 0.0182828609928998020440, 
	 1.1500, 	 1.2000, 	 0.0165864027847822427530, 
	 1.2000, 	 1.2500, 	 0.0152171546168059865917, 
	 1.2500, 	 1.3000, 	 0.0137560359375592626552, 
	 1.3000, 	 1.3500, 	 0.0123974850208953199515, 
	 1.3500, 	 1.4000, 	 0.0111616378692843496584, 
	 1.4000, 	 1.4500, 	 0.0101598717463900027613, 
	 1.4500, 	 1.5000, 	 0.0091581056234956072920, 
	 1.5000, 	 1.5500, 	 0.0082299617596330275349, 
	 1.5500, 	 1.6000, 	 0.0074918514190833260941, 
	 1.6000, 	 1.6500, 	 0.0066568365666455691851, 
	 1.6500, 	 1.7000, 	 0.0059385476035275393258, 
	 1.7000, 	 1.7500, 	 0.0053171631522975059542, 
	 1.7500, 	 1.8000, 	 0.0047576969086634566045, 
	 1.8000, 	 1.8500, 	 0.0043033154279209680226, 
	 1.8500, 	 1.9000, 	 0.0037854426143894902117, 
	 1.9000, 	 1.9500, 	 0.0034022922423854887533, 
	 1.9500, 	 2.0000, 	 0.0030129122946172407285, 
	 2.0000, 	 2.0500, 	 0.0026913655051705991789, 
	 2.0500, 	 2.1000, 	 0.0023961213689507412407, 
	 2.1000, 	 2.1500, 	 0.0021135880842901790151, 
	 2.1500, 	 2.2000, 	 0.0019167586601436098753, 
	 2.2000, 	 2.2500, 	 0.0017551043153122055512, 
	 2.2500, 	 2.3000, 	 0.0015427953392666232755, 
	 2.3000, 	 2.3500, 	 0.0013693740179917021204, 
	 2.3500, 	 2.4000, 	 0.0012688827806636535523, 
	 2.4000, 	 2.4500, 	 0.0011390684897383417020, 
	 2.4500, 	 2.5000, 	 0.0010342354268776498671, 
	 2.5000, 	 2.5500, 	 0.0009369533649433078046, 
	 2.5500, 	 2.6000, 	 0.0008468447538889957438, 
	 2.6000, 	 2.6500, 	 0.0007839826711772109394, 
	 2.6500, 	 2.7000, 	 0.0007206801134114035508, 
	 2.7000, 	 2.7500, 	 0.0006754999578687983629, 
	 2.7500, 	 2.8000, 	 0.0006281237195567894406, 
	 2.8000, 	 2.8500, 	 0.0005857626043600292322, 
	 2.8500, 	 2.9000, 	 0.0005455975719326692890, 
	 2.9000, 	 2.9500, 	 0.0005255811269771020183, 
	 2.9500, 	 3.0000, 	 0.0004925014504189578887, 
	 3.0000, 	 3.0500, 	 0.0004651857045679242525, 
	 3.0500, 	 3.1000, 	 0.0004436779369294040838, 
	 3.1000, 	 3.1500, 	 0.0004280536575126491611, 
	 3.1500, 	 3.2000, 	 0.0004156763084942277447, 
	 3.2000, 	 3.2500, 	 0.0003929666732082577130, 
	 3.2500, 	 3.3000, 	 0.0003792238515223195997, 
	 3.3000, 	 3.3500, 	 0.0003642980396912581884, 
	 3.3500, 	 3.4000, 	 0.0003514928006203373490, 
	 3.4000, 	 3.4500, 	 0.0003399020141984089951, 
	 3.4500, 	 3.5000, 	 0.0003310484656122728237, 
	 3.5000, 	 3.5500, 	 0.0003120702832840725901, 
	 3.5500, 	 3.6000, 	 0.0002995544992486673082, 
	 3.6000, 	 3.6500, 	 0.0002883160928699625295, 
	 3.6500, 	 3.7000, 	 0.0002764106814094361916, 
	 3.7000, 	 3.7500, 	 0.0002641843524095354627, 
	 3.7500, 	 3.8000, 	 0.0002627622472350749040, 
	 3.8000, 	 3.8500, 	 0.0002443315124740363812, 
	 3.8500, 	 3.9000, 	 0.0002347794963022146130, 
	 3.9000, 	 3.9500, 	 0.0002255861526743981667, 
	 3.9500, 	 4.0000, 	 0.0002147756363481865768, 
	 4.0000, 	 4.0500, 	 0.0002078287154959541406, 
	 4.0500, 	 4.1000, 	 0.0001974272117199212906, 
	 4.1000, 	 4.1500, 	 0.0001897126057735143607, 
	 4.1500, 	 4.2000, 	 0.0001821553123463994298, 
	 4.2000, 	 4.2500, 	 0.0001726347586784395308, 
	 4.2500, 	 4.3000, 	 0.0001642342701478867266, 
	 4.3000, 	 4.3500, 	 0.0001519324311387250848, 
	 4.3500, 	 4.4000, 	 0.0001498055658778087835, 
	 4.4000, 	 4.4500, 	 0.0001431795625649430676, 
	 4.4500, 	 4.5000, 	 0.0001343071364764939922, 
	 4.5000, 	 4.5500, 	 0.0001275867456520517760, 
	 4.5500, 	 4.6000, 	 0.0001225149900298603384, 
	 4.6000, 	 4.6500, 	 0.0001122645062723562939, 
	 4.6500, 	 4.7000, 	 0.0001099425734875048656, 
	 4.7000, 	 4.7500, 	 0.0001025237150773761853, 
	 4.7500, 	 4.8000, 	 0.0000981881820455028610, 
	 4.8000, 	 4.8500, 	 0.0000932108139348906479, 
	 4.8500, 	 4.9000, 	 0.0000856786905108684025, 
	 4.9000, 	 4.9500, 	 0.0000821045500723994667, 
	 4.9500, 	 5.0000, 	 0.0000786122121439673902, 
	 5.0000, 	 5.0500, 	 0.0000733705590009332945, 
	 5.0500, 	 5.1000, 	 0.0000692238009922184597, 
	 5.1000, 	 5.1500, 	 0.0000644666704086256566, 
	 5.1500, 	 5.2000, 	 0.0000622051456311857858, 
	 5.2000, 	 5.2500, 	 0.0000579992381152146099, 
	 5.2500, 	 5.3000, 	 0.0000543363734158627007, 
	 5.3000, 	 5.3500, 	 0.0000516400368350822665, 
	 5.3500, 	 5.4000, 	 0.0000474158810668732876, 
	 5.4000, 	 5.4500, 	 0.0000445339157133194910, 
	 5.4500, 	 5.5000, 	 0.0000418237356308407638, 
	 5.5000, 	 5.5500, 	 0.0000393709188299347761, 
	 5.5500, 	 5.6000, 	 0.0000360730191753559426, 
	 5.6000, 	 5.6500, 	 0.0000338486201524723353, 
	 5.6500, 	 5.7000, 	 0.0000312321983314950549, 
	 5.7000, 	 5.7500, 	 0.0000290688365660987532, 
	 5.7500, 	 5.8000, 	 0.0000271527700810400804, 
	 5.8000, 	 5.8500, 	 0.0000244998517555860895, 
	 5.8500, 	 5.9000, 	 0.0000226888700334193768, 
