########################################################################################## 
#####	 Integrated Neutrino Flux (Neutrino Mode): 0.0011485658077633335 m^-2 POT^-1 
########################################################################################## 
	 0.0000, 	 0.2500, 	 0.0072706842251051293294, 
	 0.2500, 	 0.5000, 	 0.0061210201039248075816, 
	 0.5000, 	 0.7500, 	 0.0072253656202431564004, 
	 0.7500, 	 1.0000, 	 0.0067860599256198946352, 
	 1.0000, 	 1.2500, 	 0.0047272981341603664135, 
	 1.2500, 	 1.5000, 	 0.0054355492369718982903, 
	 1.5000, 	 1.7500, 	 0.0085330277409925141957, 
	 1.7500, 	 2.0000, 	 0.0138562872866569951336, 
	 2.0000, 	 2.2500, 	 0.0201964874308532722769, 
	 2.2500, 	 2.5000, 	 0.0253400124775411510203, 
	 2.5000, 	 2.7500, 	 0.0302528290195800721174, 
	 2.7500, 	 3.0000, 	 0.0349339957090797417760, 
	 3.0000, 	 3.2500, 	 0.0369951427360925844123, 
	 3.2500, 	 3.5000, 	 0.0375176822335626936056, 
	 3.5000, 	 3.7500, 	 0.0382847510371479918256, 
	 3.7500, 	 4.0000, 	 0.0390158001370990992207, 
	 4.0000, 	 4.2500, 	 0.0384100403318730562741, 
	 4.2500, 	 4.5000, 	 0.0370183159838247538564, 
	 4.5000, 	 4.7500, 	 0.0345702211676682732988, 
	 4.7500, 	 5.0000, 	 0.0314350033371702183849, 
	 5.0000, 	 5.2500, 	 0.0298982929562151208969, 
	 5.2500, 	 5.5000, 	 0.0285804274148861205129, 
	 5.5000, 	 5.7500, 	 0.0269818704252997448867, 
	 5.7500, 	 6.0000, 	 0.0263057511339617466906, 
	 6.0000, 	 6.2500, 	 0.0258573785666093708402, 
	 6.2500, 	 6.5000, 	 0.0246559810579310284551, 
	 6.5000, 	 6.7500, 	 0.0243517156883388923017, 
	 6.7500, 	 7.0000, 	 0.0232414582774176370350, 
	 7.0000, 	 7.2500, 	 0.0227769210289694920557, 
	 7.2500, 	 7.5000, 	 0.0222440785084422679163, 
	 7.5000, 	 7.7500, 	 0.0216600253392935787611, 
	 7.7500, 	 8.0000, 	 0.0206506819545574753227, 
	 8.0000, 	 8.2500, 	 0.0196626540223923257367, 
	 8.2500, 	 8.5000, 	 0.0187598626516312164125, 
	 8.5000, 	 8.7500, 	 0.0174700289390249466348, 
	 8.7500, 	 9.0000, 	 0.0165508144779432792015, 
	 9.0000, 	 9.2500, 	 0.0152593092894955564137, 
	 9.2500, 	 9.5000, 	 0.0142114737263390501776, 
	 9.5000, 	 9.7500, 	 0.0128301442550311974727, 
	 9.7500, 	 10.0000, 	 0.0118955720322255001364, 
	 10.0000, 	 10.2500, 	 0.0109427601927967067114, 
	 10.2500, 	 10.5000, 	 0.0097834065963379301251, 
	 10.5000, 	 10.7500, 	 0.0089992943635754055892, 
	 10.7500, 	 11.0000, 	 0.0079349821650601878864, 
	 11.0000, 	 11.2500, 	 0.0071517174240072547975, 
	 11.2500, 	 11.5000, 	 0.0063099616765653855285, 
	 11.5000, 	 11.7500, 	 0.0052739690743503061729, 
	 11.7500, 	 12.0000, 	 0.0046892337240025030315, 
	 12.0000, 	 12.2500, 	 0.0040033690267640836824, 
	 12.2500, 	 12.5000, 	 0.0035446865669179913015, 
	 12.5000, 	 12.7500, 	 0.0029124435512442817947, 
	 12.7500, 	 13.0000, 	 0.0024163466483514439188, 
	 13.0000, 	 13.2500, 	 0.0020185488235235039475, 
	 13.2500, 	 13.5000, 	 0.0017639153336327243263, 
	 13.5000, 	 13.7500, 	 0.0014489667198441639768, 
	 13.7500, 	 14.0000, 	 0.0012465529134879291262, 
	 14.0000, 	 14.2500, 	 0.0010374776107261031270, 
	 14.2500, 	 14.5000, 	 0.0009430170623912396228, 
	 14.5000, 	 14.7500, 	 0.0008511265261358303335, 
	 14.7500, 	 15.0000, 	 0.0007745406758472021987, 
	 15.0000, 	 15.2500, 	 0.0007556467510469685490, 
	 15.2500, 	 15.5000, 	 0.0006286079370636900917, 
	 15.5000, 	 15.7500, 	 0.0006466547654298982623, 
	 15.7500, 	 16.0000, 	 0.0006053802257565317219, 
