########################################################################################## 
#####	 Integrated Neutrino Flux (AntiNeutrino Mode): 2.7713597014253004e-06 m^-2 POT^-1 
########################################################################################## 
	 0.0000, 	 0.1000, 	 0.1816101225432969201723, 
	 0.1000, 	 0.2000, 	 0.2130692426200649636225, 
	 0.2000, 	 0.3000, 	 0.1418780846265374762094, 
	 0.3000, 	 0.4000, 	 0.0931113308583080695469, 
	 0.4000, 	 0.5000, 	 0.0647618282913350745700, 
	 0.5000, 	 0.6000, 	 0.0484364554424308313418, 
	 0.6000, 	 0.7000, 	 0.0389549179704808470892, 
	 0.7000, 	 0.8000, 	 0.0322527617771874650088, 
	 0.8000, 	 0.9000, 	 0.0274907252998475536143, 
	 0.9000, 	 1.0000, 	 0.0241223804196567456759, 
	 1.0000, 	 1.1000, 	 0.0211667473580213691409, 
	 1.1000, 	 1.2000, 	 0.0188449690063815684937, 
	 1.2000, 	 1.3000, 	 0.0167778662845380309443, 
	 1.3000, 	 1.4000, 	 0.0149375038487202498744, 
	 1.4000, 	 1.5000, 	 0.0134935638634971887678, 
	 1.5000, 	 1.6000, 	 0.0123675206694998755796, 
	 1.6000, 	 1.7000, 	 0.0110109285928707348323, 
	 1.7000, 	 1.8000, 	 0.0099465526281379088719, 
	 1.8000, 	 1.9000, 	 0.0089850650060862291557, 
	 1.9000, 	 2.0000, 	 0.0081165199825327678101, 
	 2.0000, 	 2.1000, 	 0.0072262197362384303356, 
	 2.1000, 	 2.2000, 	 0.0066231888665115026468, 
	 2.2000, 	 2.3000, 	 0.0059829555764722517491, 
	 2.3000, 	 2.4000, 	 0.0051741903884043238468, 
	 2.4000, 	 2.5000, 	 0.0046740251353179496085, 
	 2.5000, 	 2.6000, 	 0.0041613317965329913589, 
	 2.6000, 	 2.7000, 	 0.0036514579936870283743, 
	 2.7000, 	 2.8000, 	 0.0032984882970868304244, 
	 2.8000, 	 2.9000, 	 0.0029366774533243276794, 
	 2.9000, 	 3.0000, 	 0.0027309865560851257806, 
	 3.0000, 	 3.1000, 	 0.0024669946115558009231, 
	 3.1000, 	 3.2000, 	 0.0022611229441392125157, 
	 3.2000, 	 3.3000, 	 0.0020724313480719315332, 
	 3.3000, 	 3.4000, 	 0.0018451065655805049589, 
	 3.4000, 	 3.5000, 	 0.0017158715266603927034, 
	 3.5000, 	 3.6000, 	 0.0015500060961344656624, 
	 3.6000, 	 3.7000, 	 0.0014625275539229902998, 
	 3.7000, 	 3.8000, 	 0.0013211517232629831509, 
	 3.8000, 	 3.9000, 	 0.0012465891605224596779, 
	 3.9000, 	 4.0000, 	 0.0011762347259359857629, 
	 4.0000, 	 4.1000, 	 0.0010938488391686793360, 
	 4.1000, 	 4.2000, 	 0.0010321146936780115078, 
	 4.2000, 	 4.3000, 	 0.0009459843178930995135, 
	 4.3000, 	 4.4000, 	 0.0009056531977989164305, 
	 4.4000, 	 4.5000, 	 0.0008422193948690333666, 
	 4.5000, 	 4.6000, 	 0.0008181078570049778263, 
	 4.6000, 	 4.7000, 	 0.0007832286252811902858, 
	 4.7000, 	 4.8000, 	 0.0006973163575244092915, 
	 4.8000, 	 4.9000, 	 0.0006675869537414893910, 
	 4.9000, 	 5.0000, 	 0.0006118765607521628241, 
	 5.0000, 	 5.1000, 	 0.0006208277976261898255, 
	 5.1000, 	 5.2000, 	 0.0005943594091019126441, 
	 5.2000, 	 5.3000, 	 0.0005447598834185610889, 
	 5.3000, 	 5.4000, 	 0.0005291641863402390738, 
	 5.4000, 	 5.5000, 	 0.0004921004440651176662, 
	 5.5000, 	 5.6000, 	 0.0004643275020258624515, 
	 5.6000, 	 5.7000, 	 0.0004510344691004453967, 
	 5.7000, 	 5.8000, 	 0.0004381219967138412648, 
	 5.8000, 	 5.9000, 	 0.0003957707527665415247, 
	 5.9000, 	 6.0000, 	 0.0003844404016146303312, 
