########################################################################################## 
#####	 Integrated Neutrino Flux (Neutrino Mode): 5.0191785153474405e-06 m^-2 POT^-1 
########################################################################################## 
	 0.0000, 	 0.1000, 	 0.1412137016012555146283, 
	 0.1000, 	 0.2000, 	 0.2338190361242904469208, 
	 0.2000, 	 0.3000, 	 0.2083636856004478232762, 
	 0.3000, 	 0.4000, 	 0.1154185531351974020042, 
	 0.4000, 	 0.5000, 	 0.0621176134733833137935, 
	 0.5000, 	 0.6000, 	 0.0409029950572236955519, 
	 0.6000, 	 0.7000, 	 0.0285314849112367659167, 
	 0.7000, 	 0.8000, 	 0.0204836854900211917663, 
	 0.8000, 	 0.9000, 	 0.0167419826498879861787, 
	 0.9000, 	 1.0000, 	 0.0142881948538838062651, 
	 1.0000, 	 1.1000, 	 0.0127326713413959853594, 
	 1.1000, 	 1.2000, 	 0.0115111555716116038817, 
	 1.2000, 	 1.3000, 	 0.0108665080439290118869, 
	 1.3000, 	 1.4000, 	 0.0102579620555195392961, 
	 1.4000, 	 1.5000, 	 0.0099665908404035410267, 
	 1.5000, 	 1.6000, 	 0.0098240236679290448424, 
	 1.6000, 	 1.7000, 	 0.0101112269613409487545, 
	 1.7000, 	 1.8000, 	 0.0104068265834400385667, 
	 1.8000, 	 1.9000, 	 0.0107110679991532214278, 
	 1.9000, 	 2.0000, 	 0.0107110679991531971417, 
	 2.0000, 	 2.1000, 	 0.0107110679991531971417, 
	 2.1000, 	 2.2000, 	 0.0104068265834399934638, 
	 2.2000, 	 2.3000, 	 0.0090104405121561436526, 
	 2.3000, 	 2.4000, 	 0.0068526518084314983620, 
	 2.4000, 	 2.5000, 	 0.0053639629041819158681, 
	 2.5000, 	 2.6000, 	 0.0043841414144053861279, 
	 2.6000, 	 2.7000, 	 0.0035833014293442178380, 
	 2.7000, 	 2.8000, 	 0.0028868545421570509200, 
	 2.8000, 	 2.9000, 	 0.0022924994054647185836, 
	 2.9000, 	 3.0000, 	 0.0017944705367404995347, 
	 3.0000, 	 3.1000, 	 0.0014456990353458418642, 
	 3.1000, 	 3.2000, 	 0.0011987645988761749458, 
	 3.2000, 	 3.3000, 	 0.0010379145861275681628, 
	 3.3000, 	 3.4000, 	 0.0009249191686387970039, 
	 3.4000, 	 3.5000, 	 0.0008242253071201548729, 
	 3.5000, 	 3.6000, 	 0.0007239871875353376743, 
	 3.6000, 	 3.7000, 	 0.0006834424700554077173, 
	 3.7000, 	 3.8000, 	 0.0005917382854937244373, 
	 3.8000, 	 3.9000, 	 0.0005427330796863280614, 
	 3.9000, 	 4.0000, 	 0.0004836469547355937626, 
	 4.0000, 	 4.1000, 	 0.0004372480203425422652, 
	 4.1000, 	 4.2000, 	 0.0004068569179912853457, 
	 4.2000, 	 4.3000, 	 0.0003785781616293847551, 
	 4.3000, 	 4.4000, 	 0.0003230918735196487181, 
	 4.4000, 	 4.5000, 	 0.0003049980882186816640, 
	 4.5000, 	 4.6000, 	 0.0002797394655295168311, 
	 4.6000, 	 4.7000, 	 0.0002565726527394887038, 
	 4.7000, 	 4.8000, 	 0.0002253695823832115920, 
	 4.8000, 	 4.9000, 	 0.0002189680955465691864, 
	 4.9000, 	 5.0000, 	 0.0001951295333915478031, 
	 5.0000, 	 5.1000, 	 0.0001815669754263679896, 
	 5.1000, 	 5.2000, 	 0.0001713988649278819351, 
	 5.2000, 	 5.3000, 	 0.0001572043521561811770, 
	 5.3000, 	 5.4000, 	 0.0001361107011823674273, 
	 5.4000, 	 5.5000, 	 0.0001248386015269160052, 
	 5.5000, 	 5.6000, 	 0.0001161616435079407288, 
	 5.6000, 	 5.7000, 	 0.0001096563612334471212, 
	 5.7000, 	 5.8000, 	 0.0001050176128811777890, 
	 5.8000, 	 5.9000, 	 0.0000909263689567229243, 
	 5.9000, 	 6.0000, 	 0.0000846064945220094384, 
