########################################################################################## 
#####	 Integrated Neutrino Flux: 21384905.665767796 m^-2 s^-1 
########################################################################################## 
	 0.0000, 	 78.9474, 	 0.0640223831515767810574, 
	 78.9474, 	 157.8947, 	 0.0989137590566884217225, 
	 157.8947, 	 236.8421, 	 0.1038512179086355513569, 
	 236.8421, 	 315.7895, 	 0.0999012508223773576521, 
	 315.7895, 	 394.7368, 	 0.0989137590566884078447, 
	 394.7368, 	 473.6842, 	 0.0916721527318817147600, 
	 473.6842, 	 552.6316, 	 0.0854180381845152519871, 
	 552.6316, 	 631.5789, 	 0.0788347597074183364940, 
	 631.5789, 	 710.5263, 	 0.0659973666947059472987, 
	 710.5263, 	 789.4737, 	 0.0580974325221895807059, 
	 789.4737, 	 868.4211, 	 0.0501974983496732141131, 
	 868.4211, 	 947.3684, 	 0.0413100724114678630183, 
	 947.3684, 	 1026.3158, 	 0.0314351547075735551773, 
	 1026.3158, 	 1105.2632, 	 0.0228768926873474109929, 
	 1105.2632, 	 1184.2105, 	 0.0169519420697113037955, 
	 1184.2105, 	 1263.1579, 	 0.0100394996711097271580, 
	 1263.1579, 	 1342.1053, 	 0.0057603686633469356262, 
	 1342.1053, 	 1421.0526, 	 0.0027978933510035340453, 
	 1421.0526, 	 1500.0000, 	 0.0011520737327868986379, 
