#SBND antinu mode flux
#Based on G4BNB, geant4.10.4, Oct 9th 2024
#Elo: Lower bin edge in GeV
#Ehi: Upper bin edge in GeV
#flux    (nu/m^2/10^6 POT/50 MeV)
#  Elo   Ehi       numu      numub        nue       nueb
 0.00   0.05   6.0205e-01  5.5563e-01  2.0425e-03  2.8147e-03
 0.05   0.10   1.1433e+00  1.4788e+00  9.6582e-03  1.2134e-02
 0.10   0.15   8.6169e-01  2.1886e+00  1.6519e-02  1.9993e-02
 0.15   0.20   7.2265e-01  3.1841e+00  1.6470e-02  2.4474e-02
 0.20   0.25   1.0303e+00  4.0033e+00  8.8441e-03  2.6726e-02
 0.25   0.30   6.3674e-01  4.5191e+00  7.8373e-03  2.7037e-02
 0.30   0.35   6.5346e-01  4.8521e+00  8.0538e-03  2.6586e-02
 0.35   0.40   6.5307e-01  5.0431e+00  8.0133e-03  2.4499e-02
 0.40   0.45   6.4298e-01  5.1475e+00  7.8588e-03  2.2766e-02
 0.45   0.50   6.2167e-01  5.1432e+00  7.5583e-03  2.1393e-02
 0.50   0.55   5.9841e-01  5.0537e+00  7.0284e-03  1.9817e-02
 0.55   0.60   5.7378e-01  4.9104e+00  6.6777e-03  1.8038e-02
 0.60   0.65   5.5178e-01  4.6823e+00  6.1448e-03  1.6322e-02
 0.65   0.70   5.3070e-01  4.4271e+00  5.8742e-03  1.5158e-02
 0.70   0.75   5.0499e-01  4.1122e+00  5.4344e-03  1.3715e-02
 0.75   0.80   4.8050e-01  3.7649e+00  5.1623e-03  1.2666e-02
 0.80   0.85   4.5593e-01  3.4242e+00  4.6975e-03  1.1922e-02
 0.85   0.90   4.2940e-01  3.0663e+00  4.4772e-03  9.9111e-03
 0.90   0.95   3.9778e-01  2.7281e+00  4.1507e-03  9.3855e-03
 0.95   1.00   3.6993e-01  2.3938e+00  4.0046e-03  8.3654e-03
 1.00   1.05   3.4303e-01  2.0827e+00  3.7602e-03  7.8364e-03
 1.05   1.10   3.1533e-01  1.7979e+00  3.6063e-03  7.2280e-03
